market_name,status,genres,lengths,response_time
3:AM Magazine - Fiction,Temporarily Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",44 days
3:AM Magazine - Poetry,Temporarily Closed,['General'],['Poetry'],No Data
308 Words,Permanently Closed,['General'],['Flash'],No Data
32 Poems,Open,['General'],['Poetry'],5 days
34 Orchard - Fiction,Temporarily Closed,['General'],['Short Story'],8 days
34 Orchard - Poetry,Temporarily Closed,['General'],['Poetry'],11 days
34th Parallel - Fiction,Open,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
34th Parallel - Poetry,Open,['General'],['Poetry'],No Data
365 tomorrows,Open,['Science Fiction'],['Flash'],14 days
3Elements Review - Fiction,Open,"['General', 'Literary']","['Flash', 'Short Story']",16 days
3Elements Review - Poetry,Open,"['General', 'Literary']",['Poetry'],No Data
400 and Falling Press ,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette']",No Data
404 Ink,Does Not Qualify,[],[],No Data
404 Words New Year Short Story Writing Contest,Permanently Closed,['General'],['Flash'],No Data
42 Magazine,Permanently Closed,[],[],No Data
42 Stories,Open,"['General', 'Fantasy', 'Horror', 'Mystery/Crime', 'Romance', 'Science Fiction', 'Suspense/Thriller', 'Humor']",['Flash'],90 days
42opus,Permanently Closed,[],[],No Data
45 Poems of Protest,Permanently Closed,['General'],['Poetry'],No Data
45th Parallel Magazine  - Fiction,Temporarily Closed,"['General', 'Literary']","['Flash', 'Short Story']",No Data
45th Parallel Magazine  - Poetry,Temporarily Closed,"['General', 'Literary']",['Poetry'],No Data
47North,Does Not Qualify,[],[],No Data
491 Magazine,Permanently Closed,[],[],No Data
5_Trope,Does Not Qualify,[],[],No Data
50 Give Or Take,Open,['General'],['Flash'],15 days
50 Haikus,Open,['General'],['Poetry'],311 days
50/50 Fiction Contest,Permanently Closed,['General'],"['Flash', 'Short Story']",No Data
50/50 Press,Temporarily Closed,"['General', 'Fantasy', 'Horror', 'Mystery/Crime', 'Romance', 'Science Fiction', 'Suspense/Thriller', 'Young Adult', 'Middle Grade']",['Novel'],No Data
51 Stories of US,Does Not Qualify,[],[],No Data
52|250 A Year of Flash,Permanently Closed,[],[],No Data
53-Word Story Contest,Temporarily Closed,['General'],['Flash'],27 days
55 Fathoms Publishing,Open,"['General', 'Literary']","['Novel', 'Story Collection']",No Data
5-7-5 Haiku Journal,Open,['General'],['Poetry'],6 days
580 Split - Fiction,Open,"['General', 'Literary']","['Flash', 'Short Story']",No Data
580 Split - Poetry,Open,"['General', 'Literary']",['Poetry'],No Data
5923 Quarterly,Permanently Closed,[],[],No Data
5x5 (Five by Five) - Fiction,Open,"['General', 'Fantasy', 'Science Fiction']",['Flash'],No Data
5x5 (Five by Five) - Poetry,Temporarily Closed,"['General', 'Fantasy', 'Science Fiction']",['Poetry'],No Data
600 Second Saga,Permanently Closed,"['Fantasy', 'Science Fiction']",['Flash'],No Data
666: A Dark Drabbles Anthology,Permanently Closed,['Horror'],['Flash'],10 days
66-Sex Club,Permanently Closed,"['Erotica', 'Fantasy']",['Short Story'],No Data
67 Creative Productions,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
69 Flavors of Paranoia,Permanently Closed,"['Action/Adventure', 'Fantasy', 'Horror', 'Mystery/Crime', 'Romance', 'Science Fiction']","['Flash', 'Short Story']",No Data
7x20 (Seven By Twenty),Permanently Closed,"['General', 'Fantasy', 'Science Fiction']",['Flash'],No Data
8 Poems,Open,['General'],['Poetry'],No Data
805 - Fiction,Temporarily Closed,['General'],"['Flash', 'Short Story']",No Data
805 - Poetry,Temporarily Closed,['General'],['Poetry'],No Data
81words,Does Not Qualify,[],[],No Data
87 Bedford - Fiction,Permanently Closed,"['General', 'Fantasy', 'Horror', 'Mystery/Crime', 'Romance', 'Science Fiction', 'Literary']","['Flash', 'Short Story', 'Novelette']",No Data
87 Bedford - Poetry,Permanently Closed,['General'],['Poetry'],No Data
87 Bedford Historic Fantasy Anthology,Permanently Closed,"['Fantasy', 'Literary']",['Short Story'],No Data
92Y Discovery Poetry Contest,Temporarily Closed,['General'],['Poetry'],No Data
96th of October - Fiction,Open,"['Fantasy', 'Horror', 'Science Fiction']",['Short Story'],3 days
96th of October - Poetry,Open,"['Fantasy', 'Horror', 'Science Fiction']",['Poetry'],6 days
971 MENU,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
99 Pine Street,Permanently Closed,"['General', 'Fantasy', 'Horror', 'Science Fiction']","['Flash', 'Short Story']",No Data
99 Tiny Terrors,Permanently Closed,['Horror'],['Flash'],51 days
-Ology Journal,Permanently Closed,['General'],"['Flash', 'Short Story']",No Data
A Bad Penny Review,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
"A Big Book of Strange, Weird, and Wonderful 3",Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']","['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
A Breath from the Sky: Unusual Stories of Possession,Permanently Closed,['Horror'],"['Flash', 'Short Story']",No Data
A cappella Zoo,Permanently Closed,"['General', 'Fantasy']","['Flash', 'Novel Excerpt', 'Short Story', 'Novelette']",No Data
A Carnival of Letters - Fiction,Open,"['General', 'Fantasy', 'Literary']",['Flash'],No Data
A Carnival of Letters - Poetry,Open,"['General', 'Fantasy', 'Literary']",['Poetry'],No Data
"A Clean, Well-Lighted Place",Permanently Closed,['General'],"['Flash', 'Short Story']",No Data
A Collection of Untimely Hours,Permanently Closed,"['General', 'Fantasy', 'Horror', 'Science Fiction']","['Novelette', 'Novella']",No Data
A Dawning Darkness,Does Not Qualify,[],[],No Data
A Dragon and Her Girl: Stories of Adventure,Permanently Closed,[],[],No Data
A Dying Planet,Permanently Closed,"['General', 'Science Fiction']",['Short Story'],No Data
A Dysfunctional Family Christmas!,Permanently Closed,['General'],['Short Story'],No Data
A Few of Our Favorite Things: A Holiday Anthology,Permanently Closed,"['Erotica', 'Romance']","['Novelette', 'Novella']",No Data
A Fly in Amber,Permanently Closed,[],[],No Data
A Glitch in the Continuum,Permanently Closed,[],[],No Data
A Hand of Knaves,Permanently Closed,"['Fantasy', 'Science Fiction']","['Flash', 'Short Story']",No Data
A Haunting of Words,Permanently Closed,"['Action/Adventure', 'Fantasy', 'Horror', 'Science Fiction', 'Humor']","['Flash', 'Short Story', 'Novelette']",No Data
A Hero of a Different Stripe,Permanently Closed,[],[],106 days
A Hundred Gourds,Permanently Closed,[],['Poetry'],No Data
A Kiss and a Promise,Permanently Closed,"['Fantasy', 'Romance', 'Science Fiction', 'Historical']","['Short Story', 'Novelette']",No Data
A Krampus Anthology,Permanently Closed,"['Fantasy', 'Horror']","['Flash', 'Short Story', 'Novelette']",No Data
A Lonely and Curious Country,Permanently Closed,"['Fantasy', 'Horror']","['Flash', 'Short Story']",No Data
A Lonely Riot,Permanently Closed,['General'],"['Flash', 'Short Story']",No Data
A Midas Clutch: Tales of Opulent Horror,Permanently Closed,['Horror'],"['Short Story', 'Novelette']",No Data
A Moment of Your Time,Does Not Qualify,[],[],No Data
A Month of Horror (Burrow Press),Permanently Closed,"['Fantasy', 'Horror']","['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
A Mother's Love:  An Anthology of Murder and Mayham,Permanently Closed,[],[],No Data
A Multiplicity of Stories,Permanently Closed,"['Science Fiction', 'Alternate History']","['Flash', 'Short Story', 'Novelette']",No Data
A Murder of Storytellers,Does Not Qualify,[],[],No Data
A Mythos Grimmly,Permanently Closed,"['Fantasy', 'Horror']",['Short Story'],No Data
A Public Space - Fiction,Temporarily Closed,['General'],"['Flash', 'Novel Excerpt', 'Short Story', 'Novelette', 'Novella']",146 days
A Public Space - Poetry,Temporarily Closed,['General'],['Poetry'],77 days
A Public Space Emerging Writer Fellowships,Temporarily Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
A Punk Rock Future,Permanently Closed,['Science Fiction'],"['Flash', 'Short Story']",No Data
A Quick Bite of Flesh,Permanently Closed,[],[],No Data
A Quiet Afternoon Anthology Series,Permanently Closed,"['General', 'Fantasy', 'Science Fiction', 'Alternate History']","['Flash', 'Short Story']",3 days
A Quiet Courage,Permanently Closed,"['General', 'Literary']",['Flash'],No Data
A Restricted View from Under the Hedge,Temporarily Closed,['General'],['Flash'],No Data
A River &amp; Sound Review,Permanently Closed,['General'],"['Flash', 'Short Story']",No Data
"A Robot, a Cyborg, and a Martian Walk Into a Space Bar...",Permanently Closed,"['Fantasy', 'Science Fiction', 'Humor']","['Short Story', 'Novelette', 'Novella']",No Data
A Room of Her Own Foundation,Does Not Qualify,[],[],No Data
A Rustle of Dark Leaves Anthology,Permanently Closed,[],[],No Data
A Scandal in Gamorrah,Permanently Closed,['Mystery/Crime'],['Short Story'],No Data
A Sharp Stick in the Eye (and Other Funny Stories),Permanently Closed,"['Horror', 'Humor']","['Short Story', 'Novelette']",No Data
A Six Pack of Stories,Permanently Closed,[],[],No Data
A Slice of Sin,Permanently Closed,['Erotica'],"['Flash', 'Short Story']",No Data
A Story in 100 Words,Open,['General'],['Flash'],8 days
"A Tall Ship Star, and Plunder",Permanently Closed,"['General', 'Action/Adventure', 'Fantasy', 'Science Fiction', 'Historical']","['Short Story', 'Novelette']",No Data
A Taverna (Portuguese),Does Not Qualify,[],[],119 days
A Thousand and One Stories,Permanently Closed,"['General', 'Fantasy', 'Horror', 'Mystery/Crime', 'Science Fiction', 'Suspense/Thriller', 'Humor', 'Literary']","['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
A Thousand Faces,Permanently Closed,[],[],No Data
A Thousand Words for War,Permanently Closed,"['Fantasy', 'Science Fiction']","['Flash', 'Short Story']",No Data
A Tribute to H.G. Wells: Stories inspired by the Master of Science Fiction,Permanently Closed,"['Fantasy', 'Science Fiction']","['Short Story', 'Novelette']",No Data
A Tribute to Ray Bradbury:  Dandelions on Mars,Permanently Closed,"['Fantasy', 'Science Fiction']","['Flash', 'Short Story']",No Data
A Tudor Writing Circle - Fiction,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
A Tudor Writing Circle - Poetry,Permanently Closed,['General'],['Poetry'],No Data
A Two Dame Production Fairy Tale Anthology,Permanently Closed,"['Erotica', 'Fantasy', 'Literary']","['Flash', 'Short Story']",No Data
A Velvet Giant - Fiction,Open,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",109 days
A Velvet Giant - Poetry,Open,['General'],['Poetry'],75 days
A Very Scary Christmas,Permanently Closed,['Horror'],[],No Data
A Wink and a Smile,Permanently Closed,"['Fantasy', 'Romance', 'Science Fiction', 'Historical']",['Short Story'],No Data
A World Unimagined,Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction', 'Suspense/Thriller']","['Short Story', 'Novelette']",No Data
A Year of The Monkeys,Permanently Closed,[],[],No Data
A&amp;U: America's AIDS Magazine - Fiction,Open,['General'],"['Flash', 'Short Story']",No Data
A&amp;U: America's AIDS Magazine - Poetry,Open,['General'],['Poetry'],No Data
A3 Review - Fiction,Does Not Qualify,[],[],No Data
A3 Review - Poetry,Does Not Qualify,[],['Poetry'],No Data
AADOREE,Permanently Closed,"['General', 'Fantasy', 'Horror', 'Science Fiction']","['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
Aainanagar,Does Not Qualify,[],[],No Data
Aardvark Press,Permanently Closed,['General'],"['Flash', 'Short Story']",No Data
Aardwolf Press,Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']",['Novel'],No Data
AARP Magazine,Does Not Qualify,[],[],No Data
Ab Terra Anthology,Does Not Qualify,[],[],No Data
Ab Terra Flash Fiction,Temporarily Closed,['Science Fiction'],['Flash'],23 days
ABA Journal/Ross Contest for Short Fiction,Temporarily Closed,['General'],"['Flash', 'Short Story']",No Data
Abaddon Books,Does Not Qualify,[],[],No Data
Abandon Journal - Fiction,Open,"['General', 'Fantasy', 'Horror', 'Mystery/Crime', 'Romance', 'Science Fiction']","['Flash', 'Short Story', 'Novelette']",62 days
Abandon Journal - Poetry,Open,"['General', 'Fantasy', 'Horror', 'Mystery/Crime', 'Romance', 'Science Fiction']",['Poetry'],25 days
Abandoned Places,Permanently Closed,[],[],No Data
Abandoned Towers,Permanently Closed,['General'],"['Flash', 'Short Story']",No Data
Abattoir: The Psychological Horror Webzine,Permanently Closed,['Horror'],"['Novelette', 'Novella']",No Data
Abbey Review - Fiction,Open,"['General', 'Literary']","['Flash', 'Short Story']",No Data
Abbey Review - Poetry,Open,['General'],['Poetry'],No Data
Abbreviate journal,Permanently Closed,['General'],"['Flash', 'Short Story']",No Data
Aberrant Dreams,Does Not Qualify,[],[],No Data
Aberrant Dreams Magazine,Permanently Closed,[],[],No Data
Abe's Penny: A Micro-Magazine,Does Not Qualify,[],[],No Data
ABJECTIVE,Permanently Closed,[],[],No Data
Able Muse - Fiction,Temporarily Closed,"['General', 'Literary']","['Flash', 'Short Story']",46 days
Able Muse - Poetry,Temporarily Closed,"['General', 'Literary']",['Poetry'],3 days
Able Muse Write Prize - Fiction,Temporarily Closed,['General'],"['Flash', 'Short Story']",No Data
Able Muse Write Prize - Poetry,Temporarily Closed,['General'],['Poetry'],No Data
Abomination Magazine,Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']",['Short Story'],No Data
Aboriginal,Permanently Closed,[],[],No Data
About Place Journal - Fiction,Temporarily Closed,"['General', 'Science Fiction', 'Literary']","['Flash', 'Short Story']",No Data
About Place Journal - Poetry,Temporarily Closed,"['General', 'Science Fiction', 'Literary']",['Poetry'],No Data
ABQ Arts Flash Fiction Contest,Permanently Closed,['General'],['Flash'],No Data
Absinthe Literary Review,Permanently Closed,"['General', 'Fantasy']","['Flash', 'Short Story']",No Data
Absinthe Revival,Permanently Closed,[],[],No Data
Absolute Magnitude,Permanently Closed,[],[],No Data
Absolute Visions,Permanently Closed,[],[],No Data
Absolute Xpress Flash Fiction Challenge,Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']",['Flash'],No Data
Abstract Jam,Permanently Closed,['General'],"['Short Story', 'Novelette']",No Data
Abstract Magazine - Fiction,Open,['General'],['Flash'],No Data
Abstract Magazine - Poetry,Open,['General'],['Poetry'],No Data
Abyss &amp; Apex - Fiction,Temporarily Closed,"['Fantasy', 'Science Fiction']","['Flash', 'Short Story', 'Novelette']",108 days
Abyss &amp; Apex - Poetry,Temporarily Closed,"['Fantasy', 'Science Fiction', 'Literary']",['Poetry'],52 days
Abyss Webzine - Fiction,Permanently Closed,['General'],"['Flash', 'Short Story']",No Data
Abyss Webzine - Poetry,Permanently Closed,['General'],['Poetry'],No Data
"Abyss: Stories of Depth, Time and Infinity",Permanently Closed,"['General', 'Fantasy', 'Science Fiction', 'Literary']","['Flash', 'Short Story']",13 days
AcademFic,Open,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
Academia Lunare,Does Not Qualify,[],[],5 days
Academy of the Heart and Mind - Fiction,Open,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",2 days
Academy of the Heart and Mind - Poetry,Open,['General'],['Poetry'],1 days
Accessing the Future,Permanently Closed,['Science Fiction'],['Short Story'],No Data
Accursed,Permanently Closed,"['Horror', 'Humor']",['Short Story'],No Data
Ace and Roc Science Fiction &amp; Fantasy,Does Not Qualify,[],[],No Data
Acethetic,Permanently Closed,"['General', 'Fantasy', 'Science Fiction', 'Literary']","['Short Story', 'Novelette']",No Data
Ache Magazine - Fiction,Temporarily Closed,['General'],"['Flash', 'Short Story']",No Data
Ache Magazine - Poetry,Temporarily Closed,['General'],['Poetry'],No Data
Acidic Fiction,Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']","['Flash', 'Short Story']",No Data
Acorn,Temporarily Closed,['General'],['Poetry'],No Data
Acre Books - Fiction,Temporarily Closed,['General'],['Novel'],111 days
Acre Books - Poetry,Temporarily Closed,['General'],['Poetry'],No Data
Acropolis Journal,Temporarily Closed,['General'],['Poetry'],5 days
Across the Margin - Fiction,Open,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",21 days
Across the Margin - Poetry,Open,['General'],['Poetry'],3 days
Across the Universe,Permanently Closed,"['General', 'Fantasy', 'Horror', 'Science Fiction']",['Short Story'],No Data
ActiveMuse - Fiction,Open,['General'],"['Flash', 'Short Story']",No Data
ActiveMuse - Poetry,Open,['General'],['Poetry'],No Data
actual paper,Permanently Closed,"['General', 'Literary']","['Flash', 'Short Story', 'Novelette']",No Data
Acumen,Open,"['General', 'Literary']",['Poetry'],17 days
Ad Hoc Fiction,Does Not Qualify,[],[],No Data
Ad Lumen Press,Temporarily Closed,"['General', 'Literary']",['Novel'],No Data
Adamant Press,Does Not Qualify,[],[],No Data
Adanna - Fiction,Temporarily Closed,['General'],"['Flash', 'Short Story']",No Data
Adanna - Poetry,Temporarily Closed,['General'],['Poetry'],No Data
Adbusters,Open,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
adda,Does Not Qualify,[],[],No Data
Addition Magazine,Permanently Closed,"['General', 'Science Fiction']",['Short Story'],No Data
Adelaide Literary Magazine - Fiction,Does Not Qualify,[],[],80 days
Adelaide Literary Magazine - Poetry,Does Not Qualify,[],['Poetry'],No Data
Adlers Writing,Temporarily Closed,['General'],['Flash'],No Data
"Adult Children: Being One, Having One &amp; What Go in Between Anthology - Fiction",Permanently Closed,"['General', 'Humor']","['Flash', 'Short Story']",No Data
"Adult Children: Being One, Having One &amp; What Go in Between Anthology - Poetry",Temporarily Closed,"['General', 'Humor']",['Poetry'],51 days
Adventures in Potty Training,Permanently Closed,[],[],No Data
Adventures in Space,Permanently Closed,['Science Fiction'],"['Short Story', 'Novelette']",No Data
Adventures Unlimited Magazine,Permanently Closed,[],[],No Data
AE Micro,Temporarily Closed,['Science Fiction'],['Flash'],No Data
AE: The Canadian Science Fiction Review,Temporarily Closed,"['Fantasy', 'Science Fiction']","['Flash', 'Short Story']",No Data
Aegis Publishing House,Permanently Closed,"['Erotica', 'Horror', 'Mystery/Crime', 'Romance']","['Flash', 'Short Story']",No Data
Aeon Award Contest,Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']","['Flash', 'Short Story', 'Novelette']",No Data
Aeon Speculative Fiction,Permanently Closed,[],[],No Data
Aercastle Narratives,Permanently Closed,"['Action/Adventure', 'Fantasy', 'Horror', 'Mystery/Crime', 'Science Fiction', 'Suspense/Thriller', 'Western', 'Humor']","['Flash', 'Short Story']",No Data
AESTHETIC: A Dark Academia Anthology,Temporarily Closed,"['Fantasy', 'Mystery/Crime', 'Romance', 'Science Fiction', 'Suspense/Thriller', 'Humor']","['Short Story', 'Novelette']",27 days
Aesthetica Creative Writing Competition - Fiction,Temporarily Closed,['General'],"['Flash', 'Short Story']",No Data
Aesthetica Creative Writing Competition - Poetry,Temporarily Closed,['General'],['Poetry'],No Data
Aesthetix Poetry Journal,Permanently Closed,[],['Poetry'],No Data
Aether/Ichor,Permanently Closed,['Fantasy'],"['Flash', 'Short Story']",No Data
Aethlon: The Journal of Sport Literature - Fiction,Open,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
Aethlon: The Journal of Sport Literature - Poetry,Open,['General'],['Poetry'],91 days
Aethon Books,Open,"['Fantasy', 'Science Fiction']",['Novel'],No Data
Afreada,Open,['General'],"['Flash', 'Short Story']",No Data
Africa Risen,Permanently Closed,"['Fantasy', 'Science Fiction']","['Flash', 'Short Story']",26 days
African Voices,Does Not Qualify,[],[],No Data
Afrocentric Books,Permanently Closed,"['General', 'Fantasy', 'Science Fiction']",['Novel'],No Data
Afrofuturism,Permanently Closed,['Science Fiction'],['Short Story'],No Data
Afrofuturism Anthology,Permanently Closed,"['Fantasy', 'Science Fiction']",['Short Story'],No Data
Afromyth,Permanently Closed,['Fantasy'],['Short Story'],No Data
After Alexei - Fiction,Temporarily Closed,['General'],['Short Story'],No Data
After Alexei - Poetry,Temporarily Closed,['General'],['Poetry'],No Data
After Avalon,Permanently Closed,"['General', 'Fantasy', 'Historical']","['Short Story', 'Novelette']",No Data
After Death...,Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']",['Short Story'],No Data
After Dinner Conversation,Open,"['General', 'Fantasy', 'Science Fiction']","['Flash', 'Short Story', 'Novelette']",33 days
After Ever After,Permanently Closed,"['General', 'Fantasy', 'Horror', 'Science Fiction', 'Humor']","['Flash', 'Short Story', 'Novelette']",No Data
After Happy Hour Review - Fiction,Open,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",31 days
After Happy Hour Review - Poetry,Open,['General'],['Poetry'],20 days
After Hours,Does Not Qualify,[],[],No Data
After Lines,Permanently Closed,"['Fantasy', 'Science Fiction']","['Flash', 'Short Story']",No Data
After Sundown,Permanently Closed,['Horror'],['Short Story'],No Data
After the End Anthology,Permanently Closed,[],[],No Data
After the Fall,Permanently Closed,"['General', 'Science Fiction']",['Short Story'],No Data
After the Happily Ever After Anthology,Permanently Closed,['Fantasy'],"['Flash', 'Short Story']",No Data
After the Orange,Permanently Closed,"['Fantasy', 'Science Fiction']","['Flash', 'Short Story']",No Data
After the Pause - Fiction,Open,"['General', 'Literary']",['Flash'],5 days
After the Pause - Poetry,Open,['General'],['Poetry'],6 days
After the Rain Anthology,Permanently Closed,[],[],No Data
After...,Open,['General'],['Poetry'],1 days
Afterburn SF,Permanently Closed,[],[],No Data
Aftermath ,Permanently Closed,"['General', 'Science Fiction']",['Short Story'],187 days
AFTERMATH: Explorations of Loss &amp; Grief - Fiction,Permanently Closed,['General'],"['Flash', 'Short Story']",No Data
AFTERMATH: Explorations of Loss &amp; Grief - Poetry,Permanently Closed,['General'],['Poetry'],No Data
Afternoon Shorts: A Long Story Short Series,Permanently Closed,['General'],"['Short Story', 'Novelette']",No Data
Afternoon Visitor,Open,"['General', 'Literary']",['Poetry'],No Data
"Again, Hazardous Imaginings",Permanently Closed,['Science Fiction'],"['Flash', 'Short Story']",No Data
Against Survival,Permanently Closed,['General'],['Short Story'],No Data
Agapanthus Collective - Fiction,Open,['General'],"['Flash', 'Short Story']",13 days
Agapanthus Collective - Poetry,Open,['General'],['Poetry'],10 days
Agave Magazine - Fiction,Temporarily Closed,"['General', 'Literary']","['Flash', 'Short Story']",No Data
Agave Magazine - Poetry,Temporarily Closed,"['General', 'Literary']",['Poetry'],No Data
AGENCY,Permanently Closed,[],[],No Data
Agenda,Temporarily Closed,['General'],['Poetry'],No Data
Agents &amp; Spies,Permanently Closed,"['Action/Adventure', 'Science Fiction', 'Suspense/Thriller']",['Short Story'],No Data
Aggregate,Permanently Closed,"['General', 'Fantasy', 'Science Fiction']","['Short Story', 'Novelette']",No Data
Aghast,Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']","['Flash', 'Short Story', 'Novelette', 'Novella']",No Data
Agnes and True,Open,"['General', 'Fantasy', 'Science Fiction']","['Flash', 'Short Story']",253 days
AGNI - Fiction,Open,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",84 days
AGNI - Poetry,Open,['General'],['Poetry'],81 days
Agony Opera - Fiction,Temporarily Closed,"['General', 'Fantasy', 'Science Fiction']","['Flash', 'Short Story']",83 days
Agony Opera - Poetry,Temporarily Closed,['General'],['Poetry'],No Data
AHF Magazine - Fiction,Open,"['General', 'Fantasy', 'Science Fiction', 'Alternate History']",['Short Story'],64 days
AHF Magazine - Poetry,Open,"['General', 'Fantasy', 'Science Fiction', 'Alternate History']",['Poetry'],No Data
Ahoy Comics,Does Not Qualify,[],[],45 days
AIE International LLC,Does Not Qualify,[],[],No Data
Air and Nothingness Press,Does Not Qualify,[],[],34 days
Air/Light - Fiction,Open,['General'],"['Flash', 'Short Story']",81 days
Air/Light - Poetry,Open,['General'],['Poetry'],No Data
"Air: Sylphs, Spirits and Swan Maidens - Fiction",Permanently Closed,['Fantasy'],"['Flash', 'Short Story']",No Data
"Air: Sylphs, Spirits and Swan Maidens - Poetry",Permanently Closed,['Fantasy'],['Poetry'],No Data
Aji Magazine - Fiction,Open,['General'],"['Flash', 'Short Story']",21 days
Aji Magazine - Poetry,Open,['General'],['Poetry'],No Data
Akashic Books.com,Does Not Qualify,[],[],60 days
Akitsu Quarterly,Open,['General'],['Poetry'],267 days
