,market_name,status,genres,lengths,response_days,length_Flash,length_Short Story,length_Novelette,length_Novella,length_Poetry,length_Novel,length_Story Collection,length_Novel Excerpt,genre_General,genre_Fantasy,genre_Horror,genre_Science Fiction,genre_Romance,genre_Literary,genre_Mystery/Crime,genre_Erotica,genre_Suspense/Thriller,genre_Humor,genre_Young Adult,genre_Middle Grade,genre_Action/Adventure,genre_Historical,genre_Alternate History,genre_Western,genre_Children,genre_Furry
33,2100: a Health Odyssey,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,21st Century Black Lesbian Erotica,Permanently Closed,['Erotica'],"['Short Story', 'Novelette']",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2244 Online,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,28,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,280 Steps,Permanently Closed,"['Mystery/Crime', 'Suspense/Thriller']",['Novel'],,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,2am Muse - Fiction,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette']",,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,2am Muse - Poetry,Permanently Closed,['General'],['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,2River View,Open,['General'],['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,3 Moon Magazine - Fiction,Temporarily Closed,"['Fantasy', 'Horror', 'Science Fiction']","['Flash', 'Short Story']",51.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,3 Moon Magazine - Poetry,Temporarily Closed,"['Fantasy', 'Horror', 'Science Fiction']",['Poetry'],90.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,3 Moon Publishing,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3 of Cups Press,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,3&amp;5,Permanently Closed,"['Fantasy', 'Science Fiction']",['Short Story'],,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,3:AM Magazine - Fiction,Temporarily Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",44.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,3:AM Magazine - Poetry,Temporarily Closed,['General'],['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,308 Words,Permanently Closed,['General'],['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,32 Poems,Open,['General'],['Poetry'],5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,34 Orchard - Fiction,Temporarily Closed,['General'],['Short Story'],8.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,34 Orchard - Poetry,Temporarily Closed,['General'],['Poetry'],11.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,34th Parallel - Fiction,Open,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,34th Parallel - Poetry,Open,['General'],['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,365 tomorrows,Open,['Science Fiction'],['Flash'],14.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,3Elements Review - Fiction,Open,"['General', 'Literary']","['Flash', 'Short Story']",16.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3Elements Review - Poetry,Open,"['General', 'Literary']",['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,400 and Falling Press ,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette']",,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,404 Ink,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,404 Words New Year Short Story Writing Contest,Permanently Closed,['General'],['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,42 Magazine,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,42 Stories,Open,"['General', 'Fantasy', 'Horror', 'Mystery/Crime', 'Romance', 'Science Fiction', 'Suspense/Thriller', 'Humor']",['Flash'],90.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,42opus,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,45 Poems of Protest,Permanently Closed,['General'],['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,45th Parallel Magazine  - Fiction,Temporarily Closed,"['General', 'Literary']","['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,45th Parallel Magazine  - Poetry,Temporarily Closed,"['General', 'Literary']",['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,47North,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,491 Magazine,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,5_Trope,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,50 Give Or Take,Open,['General'],['Flash'],15.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,50 Haikus,Open,['General'],['Poetry'],311.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,50/50 Fiction Contest,Permanently Closed,['General'],"['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,50/50 Press,Temporarily Closed,"['General', 'Fantasy', 'Horror', 'Mystery/Crime', 'Romance', 'Science Fiction', 'Suspense/Thriller', 'Young Adult', 'Middle Grade']",['Novel'],,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,51 Stories of US,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,52|250 A Year of Flash,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,53-Word Story Contest,Temporarily Closed,['General'],['Flash'],27.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,55 Fathoms Publishing,Open,"['General', 'Literary']","['Novel', 'Story Collection']",,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,5-7-5 Haiku Journal,Open,['General'],['Poetry'],6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,580 Split - Fiction,Open,"['General', 'Literary']","['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,580 Split - Poetry,Open,"['General', 'Literary']",['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,5923 Quarterly,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,5x5 (Five by Five) - Fiction,Open,"['General', 'Fantasy', 'Science Fiction']",['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,5x5 (Five by Five) - Poetry,Temporarily Closed,"['General', 'Fantasy', 'Science Fiction']",['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,600 Second Saga,Permanently Closed,"['Fantasy', 'Science Fiction']",['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,666: A Dark Drabbles Anthology,Permanently Closed,['Horror'],['Flash'],10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,66-Sex Club,Permanently Closed,"['Erotica', 'Fantasy']",['Short Story'],,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,67 Creative Productions,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,69 Flavors of Paranoia,Permanently Closed,"['Action/Adventure', 'Fantasy', 'Horror', 'Mystery/Crime', 'Romance', 'Science Fiction']","['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,7x20 (Seven By Twenty),Permanently Closed,"['General', 'Fantasy', 'Science Fiction']",['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,8 Poems,Open,['General'],['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,805 - Fiction,Temporarily Closed,['General'],"['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,805 - Poetry,Temporarily Closed,['General'],['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,81words,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,87 Bedford - Fiction,Permanently Closed,"['General', 'Fantasy', 'Horror', 'Mystery/Crime', 'Romance', 'Science Fiction', 'Literary']","['Flash', 'Short Story', 'Novelette']",,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,87 Bedford - Poetry,Permanently Closed,['General'],['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,87 Bedford Historic Fantasy Anthology,Permanently Closed,"['Fantasy', 'Literary']",['Short Story'],,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,92Y Discovery Poetry Contest,Temporarily Closed,['General'],['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,96th of October - Fiction,Open,"['Fantasy', 'Horror', 'Science Fiction']",['Short Story'],3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,96th of October - Poetry,Open,"['Fantasy', 'Horror', 'Science Fiction']",['Poetry'],6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,971 MENU,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,99 Pine Street,Permanently Closed,"['General', 'Fantasy', 'Horror', 'Science Fiction']","['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,99 Tiny Terrors,Permanently Closed,['Horror'],['Flash'],51.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,-Ology Journal,Permanently Closed,['General'],"['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,A Bad Penny Review,Permanently Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,"A Big Book of Strange, Weird, and Wonderful 3",Permanently Closed,"['Fantasy', 'Horror', 'Science Fiction']","['Flash', 'Short Story', 'Novelette', 'Novella']",,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,A Breath from the Sky: Unusual Stories of Possession,Permanently Closed,['Horror'],"['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,A cappella Zoo,Permanently Closed,"['General', 'Fantasy']","['Flash', 'Novel Excerpt', 'Short Story', 'Novelette']",,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,A Carnival of Letters - Fiction,Open,"['General', 'Fantasy', 'Literary']",['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,A Carnival of Letters - Poetry,Open,"['General', 'Fantasy', 'Literary']",['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,"A Clean, Well-Lighted Place",Permanently Closed,['General'],"['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,A Collection of Untimely Hours,Permanently Closed,"['General', 'Fantasy', 'Horror', 'Science Fiction']","['Novelette', 'Novella']",,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,A Dawning Darkness,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,A Dragon and Her Girl: Stories of Adventure,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,A Dying Planet,Permanently Closed,"['General', 'Science Fiction']",['Short Story'],,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,A Dysfunctional Family Christmas!,Permanently Closed,['General'],['Short Story'],,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,A Few of Our Favorite Things: A Holiday Anthology,Permanently Closed,"['Erotica', 'Romance']","['Novelette', 'Novella']",,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,A Fly in Amber,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,A Glitch in the Continuum,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,A Hand of Knaves,Permanently Closed,"['Fantasy', 'Science Fiction']","['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,A Haunting of Words,Permanently Closed,"['Action/Adventure', 'Fantasy', 'Horror', 'Science Fiction', 'Humor']","['Flash', 'Short Story', 'Novelette']",,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,A Hero of a Different Stripe,Permanently Closed,[],[],106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,A Hundred Gourds,Permanently Closed,[],['Poetry'],,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,A Kiss and a Promise,Permanently Closed,"['Fantasy', 'Romance', 'Science Fiction', 'Historical']","['Short Story', 'Novelette']",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,A Krampus Anthology,Permanently Closed,"['Fantasy', 'Horror']","['Flash', 'Short Story', 'Novelette']",,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,A Lonely and Curious Country,Permanently Closed,"['Fantasy', 'Horror']","['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,A Lonely Riot,Permanently Closed,['General'],"['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,A Midas Clutch: Tales of Opulent Horror,Permanently Closed,['Horror'],"['Short Story', 'Novelette']",,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,A Moment of Your Time,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,A Month of Horror (Burrow Press),Permanently Closed,"['Fantasy', 'Horror']","['Flash', 'Short Story', 'Novelette', 'Novella']",,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,A Mother's Love:  An Anthology of Murder and Mayham,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,A Multiplicity of Stories,Permanently Closed,"['Science Fiction', 'Alternate History']","['Flash', 'Short Story', 'Novelette']",,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,A Murder of Storytellers,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,A Mythos Grimmly,Permanently Closed,"['Fantasy', 'Horror']",['Short Story'],,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,A Public Space - Fiction,Temporarily Closed,['General'],"['Flash', 'Novel Excerpt', 'Short Story', 'Novelette', 'Novella']",146.0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,A Public Space - Poetry,Temporarily Closed,['General'],['Poetry'],77.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,A Public Space Emerging Writer Fellowships,Temporarily Closed,['General'],"['Flash', 'Short Story', 'Novelette', 'Novella']",,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,A Punk Rock Future,Permanently Closed,['Science Fiction'],"['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,A Quick Bite of Flesh,Permanently Closed,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,A Quiet Afternoon Anthology Series,Permanently Closed,"['General', 'Fantasy', 'Science Fiction', 'Alternate History']","['Flash', 'Short Story']",3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,A Quiet Courage,Permanently Closed,"['General', 'Literary']",['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,A Restricted View from Under the Hedge,Temporarily Closed,['General'],['Flash'],,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,A River &amp; Sound Review,Permanently Closed,['General'],"['Flash', 'Short Story']",,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,"A Robot, a Cyborg, and a Martian Walk Into a Space Bar...",Permanently Closed,"['Fantasy', 'Science Fiction', 'Humor']","['Short Story', 'Novelette', 'Novella']",,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,A Room of Her Own Foundation,Does Not Qualify,[],[],,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
